 IJ      CONS     HOURS  EARNINGS    INCOME      PENS    ASSETS     CV(C)     CV(L)     CV(Y)     VALUE     IAMAX
 69     0.645     0.000     0.000     0.063     0.291     1.574     0.816     0.000     0.000    -7.160       172
 70     0.605     0.000     0.000     0.051     0.291     1.282     0.802     0.000     0.000    -6.775       169
 71     0.564     0.000     0.000     0.041     0.291     1.019     0.781     0.000     0.000    -6.397       166
 72     0.522     0.000     0.000     0.031     0.291     0.787     0.750     0.000     0.000    -6.042       162
 73     0.482     0.000     0.000     0.024     0.291     0.588     0.716     0.000     0.000    -5.654       158
 74     0.441     0.000     0.000     0.017     0.291     0.421     0.668     0.000     0.000    -5.289       154
 75     0.405     0.000     0.000     0.011     0.291     0.287     0.610     0.000     0.000    -4.891       149
 76     0.372     0.000     0.000     0.007     0.291     0.185     0.537     0.000     0.000    -4.455       143
 77     0.346     0.000     0.000     0.004     0.291     0.111     0.450     0.000     0.000    -3.944       136
 78     0.326     0.000     0.000     0.002     0.291     0.061     0.356     0.000     0.000    -3.331       128
 79     0.311     0.000     0.000     0.001     0.291     0.028     0.263     0.000     0.000    -2.552       118
 80     0.301     0.000     0.000     0.000     0.291     0.009     0.179     0.000     0.000    -1.501       101
--------------------------------------------------------------------

